Item,Cost,CostDate
adipiscing,54.52,3/09/2018
adipiscing,97.33,31/08/3018
accumsan,18.61,28/09/2018
accumsan,35.6,1/01/2020
accumsan,11.92,22/05/2019
accumsan,93.29,19/09/2018
adipiscing,22,29/08/2019
Aenean,25.04,5/04/2019
amet,72.76,28/11/2018
arcu,57.8,31/05/2020
arcu,55.87,15/08/2019
arcu,35.79,12/05/2020
auctor,48.74,27/06/2019
blandit,76,3/01/2019
blandit,29.87,29/07/2019
convallis,84.65,5/07/2019
convallis,59.84,31/07/2019
convallis,3.85,12/10/2018
dignissim,16.58,31/01/2019
dignissim,18.48,17/06/2020
dignissim,23.62,6/01/2020
dignissim,54.8,4/01/2019
Donec,95.82,16/03/2019
Donec,51.33,31/05/2019
dui,76.42,25/03/2019
egestas,14.6,18/09/2019
egestas,91.77,7/12/2018
egestas,38.23,7/08/2019
egestas,48.92,22/01/2020
egestas,67,28/07/2019
faucibus,21.45,1/06/2020
faucibus,16.92,1/08/2019
faucibus,60.14,3/09/2018
faucibus,46.99,1/02/2019
faucibus,98.88,3/11/2021
felis,20.49,10/01/2022
felis,62.58,3/03/2020
felis,26.49,6/10/2019
felis,70.3,8/11/2018
hendrerit,12.82,4/06/2020
Integer,43.88,29/08/2018
interdum,53.95,21/01/2019
interdum,8.51,25/09/2018
interdum,52.77,10/04/2019
justo,88.72,29/11/2018
justo,14.13,21/11/2019
justo,70,11/11/2019
lacus,4.42,25/03/2019
lacus,61.66,17/03/2020
lectus,9.29,15/04/2019
ligula,51.49,28/06/2019
ligula.,28.56,6/05/2020
ligula,34.6,15/03/2019
magna,24.59,1/01/2020
magna,12.21,30/06/2019
massa.,11.14,31/05/2019
molestie,73.04,4/07/2020
molestie,51.38,11/02/2020
molestie,96.03,26/03/2019
molestie,0.47,12/10/2019
molestie,71.62,1/03/2021
molestie,99.4,5/09/2022
molestie,78.85,27/05/2020
Nullam,59.75,9/02/2019
Nullam,96.11,24/08/2019
Nullam,26.03,5/12/2019
Nullam,40.47,11/02/2019
Nullam,28.79,30/12/2018
Nullam,3.14,8/06/2020
penatibus,39.84,6/12/2019
penatibus,29.6,11/03/2019
penatibus,66.74,16/06/2019
penatibus,56.09,9/08/2019
penatibus,89.76,4/02/2020
penatibus,20,20/03/2020
Quisque,74.22,13/06/2020
Quisque,67.74,3/06/2019
Quisque,4.56,2/01/2020
rutrum,40.97,23/04/2020
rutrum,49.62,18/09/2019
scelerisque,16.52,20/12/2018
"scelerisque,",23.14,6/11/2018
semper,64.17,26/11/2019
semper,86.44,24/01/2020
semper,96.84,12/12/2018
semper,6.32,2/09/2018
senectus,6.26,25/07/2018
senectus,93.53,4/09/2018
Suspendisse,42.24,18/08/2019
Suspendisse,76.61,11/04/2020
tempor,36.76,4/05/2020
tempus,82.27,16/04/2019
tempus,18.31,12/07/2020
tristique,71.07,31/12/2019
turpis,23.75,20/09/2019
turpis,48.93,19/04/2019
ultrices,10.99,6/08/2018
ultrices,35.43,20/07/2019
venenatis,98.59,29/01/2019
venenatis,91.4,12/08/3019
